Player,Team,Season,Position,Base Salary,Guaranteed Compensation,Date
Lucas Rodríguez,DCU,2019,M,261999.96,298549.86,9/13/19
Steven Beitashour,LAFC,2019,D,275000.04,298375.04,9/13/19
Botond Baráth,SKC,2019,D,250000.08,297333.41,9/13/19
Eriq Zavaleta,TOR,2019,D,275004,296962.33,9/13/19
Evan Bush,MTL,2019,GK,232000.08,294666.75,9/13/19
José Bizama,HOU,2019,D,243636,292427.18,9/13/19
Juan David Cabezas,HOU,2019,D,268008,292008,9/13/19
Jukka Raitala,MTL,2019,D,250000.08,290500.08,9/13/19
Robin Jansson,ORL,2019,D,261000,289800,9/13/19
Cristhian Paredes,POR,2019,M,252000,283500,9/13/19
Francois Affolter,SJE,2019,D,249999.96,281999.96,9/13/19
Emmanuel Ledesma,CIN,2019,M,249999.96,280833.29,9/13/19
Kacper Przybylko,PHI,2019,F,240000,277000,9/13/19
Auro,TOR,2019,D,225000,276666.67,9/13/19
DaMarcus Beasley,HOU,2019,D,275000.04,275000.04,9/13/19
Gary Mackay-Steven,NYC,2019,M,260000.04,274833.37,9/13/19
Valentín Castellanos,NYC,2019,M,249999.96,274806.41,9/13/19
Wilfried Moimbé,MIN,2019,D,252000,274275,9/13/19
Joaquín Ardáiz,VAN,2019,F,272727.12,272727.12,9/13/19
Teal Bunbury,NER,2019,F,225750,270750,9/13/19
Eric Alexander,FCD,2019,M,270000,270000,9/13/19
Greg Garza,CIN,2019,D,270000,270000,9/13/19
Jack Elliott,PHI,2019,D,250000.08,265000.08,9/13/19
Jonathan Bornstein,CHI,2019,D,240000,263200,9/13/19
João Pedro,LAG,2019,M,240000,261000,9/13/19
Patrick Mullins,TOR,2019,F,260004,260004,9/13/19
Ola Kamara,DCU,2019,M,240000,260000,9/13/19
Mathieu Deplagne,CIN,2019,D,240000,254400,9/13/19
A.J. DeLaGarza,HOU,2019,D,249999.96,253749.96,9/13/19
Marco Delgado,TOR,2019,M,252999.96,252999.96,9/13/19
Alvas Powell,CIN,2019,D,234999.96,251624.96,9/13/19
Johan Blomberg,COL,2019,M,250962,250962,9/13/19
Edgar Castillo,NER,2019,D,249999.96,249999.96,9/13/19
Shea Salinas,SJE,2019,M,249999.96,249999.96,9/13/19
Ronaldo Peña,HOU,2019,F,249999.96,249999.96,9/13/19
Russell Canouse,DCU,2019,M,247500,247500,9/13/19
Rolf Feltscher,LAG,2019,D,218000.04,242650.04,9/13/19
Brooks Lennon,RSL,2019,D,230004,242587.33,9/13/19
Luis Martins,SKC,2019,D,240000,240000,9/13/19
Jordan Allen,RSL,2019,M,237999.96,237999.96,9/13/19
Jeremy Ebobisse,POR,2019,F,174999.96,237999.96,9/13/19
Andrew Tarbell,SJE,2019,GK,200000.04,235000.04,9/13/19
Harry Shipp,SEA,2019,M,234999.96,234999.96,9/13/19
Jesse González,FCD,2019,GK,217500,231500,9/13/19
Matías Vera,HOU,2019,D,225000,231250,9/13/19
Brek Shea,ATL,2019,D,225000,225000,9/13/19
Jeisson Vargas,MTL,2019,M,225000,225000,9/13/19
Eddie Segura,LAFC,2019,D,199999.92,223999.92,9/13/19
Kevin Kratz,ATL,2019,M,210000,222750,9/13/19
Pablo Ruiz,RSL,2019,M,200004,221004,9/13/19
Orji Okwonkwo,MTL,2019,M,200000.04,220000.04,9/13/19
Nick Lima,SJE,2019,D,200000.04,218437.54,9/13/19
Josh Williams,CLB,2019,D,215000.04,215000.04,9/13/19
Dairon Asprilla,POR,2019,M,200000.04,213750.04,9/13/19
Victor Ulloa,CIN,2019,D,210000,212500,9/13/19
Brandon Servania,FCD,2019,M,160000.08,211000.08,9/13/19
Daniel Vega,SJE,2019,GK,200000.04,210000.04,9/13/19
Jeff Larentowicz,ATL,2019,D,210000,210000,9/13/19
Mohamed El-Munir,LAFC,2019,D,185000.04,207666.71,9/13/19
Tony Beltran,RSL,2019,D,195000,207000,9/13/19
Dominique Badji,FCD,2019,F,200000.04,206250.04,9/13/19
Robinho,ORL,2019,M,198000,205500,9/13/19
Diego Fagundez,NER,2019,M,185000.04,205000.04,9/13/19
Doneil Henry,VAN,2019,D,190008,204241.71,9/13/19
João Moutinho,ORL,2019,D,139999.92,202999.92,9/13/19
Miles Robinson,ATL,2019,D,145000.08,201250.08,9/13/19
Danilo Silva,LAFC,2019,D,200000.04,200000.04,9/13/19
Héctor Jiménez,CLB,2019,D,200000.04,200000.04,9/13/19
Dillon Powers,ORL,2019,M,200000.04,200000.04,9/13/19
Ben Sweat,NYC,2019,D,200000.04,200000.04,9/13/19
Waylon Francis,CLB,2019,D,160000.08,199166.75,9/13/19
Ema Twumasi,FCD,2019,M,150000,196900,9/13/19
Andy Rose,VAN,2019,M,192500.04,192500.04,9/13/19
Bobby Shuttleworth,MIN,2019,GK,174999.96,191874.96,9/13/19
Raymon Gaddis,PHI,2019,D,190000.08,190000.08,9/13/19
Jackson Yueill,SJE,2019,M,145000.08,190000.08,9/13/19
Russell Teibert,VAN,2019,D,170000.04,190000.04,9/13/19
Chris Pontius,LAG,2019,M,189999.96,189999.96,9/13/19
Zac MacMath,VAN,2019,GK,189999.96,189999.96,9/13/19
Fatai Alashe,CIN,2019,D,189999.96,189999.96,9/13/19
Mason Toye,MIN,2019,F,135000,188000,9/13/19
Jeff Attinella,POR,2019,GK,174999.96,187249.96,9/13/19
Rodolfo Zelaya,LAFC,2019,F,162500.04,185833.37,9/13/19
Emmanuel Boateng,DCU,2019,M,185000.04,185000.04,9/13/19
Ulises Segura,DCU,2019,M,169999.92,184249.92,9/13/19
Nicolas Hasler,SKC,2019,M,168000,183666.67,9/13/19
Boniek García,HOU,2019,M,168000,183000,9/13/19
Erik Hurtado,SKC,2019,F,174999.96,181249.96,9/13/19
Abu Danladi,MIN,2019,F,145000.08,180000.08,9/13/19
Jasser Khmiri,VAN,2019,D,180000,180000,9/13/19
Axel Sjöberg,COL,2019,D,174996,179996,9/13/19
Francis Atuahene,FCD,2019,M,135000,179000,9/13/19
Mark-Anthony Kaye,LAFC,2019,M,166248,177810.5,9/13/19
Warren Creavalle,PHI,2019,D,162000,175300,9/13/19
Nick DeLeon,TOR,2019,D,159528,175269.67,9/13/19
Aurélien Collin,PHI,2019,D,175000.08,175000.08,9/13/19
Anthony Jackson-Hamel,MTL,2019,F,160000.08,175000.08,9/13/19
Ryan Hollingshead,FCD,2019,D,174999.96,174999.96,9/13/19
Tommy Thompson,SJE,2019,D,174999.96,174999.96,9/13/19
Fafa Picault,PHI,2019,M,159999.96,173666.63,9/13/19
Joe Willis,HOU,2019,GK,165000,172833.33,9/13/19
Alejandro Fuenmayor,HOU,2019,D,145008,172508,9/13/19
Víctor Cabrera,MTL,2019,D,150000,172328.33,9/13/19
Frankie Amaya,CIN,2019,M,110000.04,172000.04,9/13/19
Matías Pellegrini,MIA,2019,M,75000,170833.33,9/13/19
Scott Sutter,VAN,2019,D,155000.04,170177.04,9/13/19
Julio Cascante,POR,2019,D,170004,170004,9/13/19
Joe Gyau,CIN,2019,M,148200,168640,9/13/19
Tyler Deric,HOU,2019,GK,159999.96,167499.96,9/13/19
Brandon Vázquez,ATL,2019,F,150000,166000,9/13/19
Chris Seitz,DCU,2019,GK,165000,165000,9/13/19
Jordan Harvey,LAFC,2019,D,165000,165000,9/13/19
Tommy McNamara,HOU,2019,M,165000,165000,9/13/19
Keaton Parks,NYC,2019,D,150000,165000,9/13/19
Keegan Rosenberry,COL,2019,D,151194.96,164944.96,9/13/19
Joseph Mora,DCU,2019,D,150000,164250,9/13/19
Juninho Pereira,LAG,2019,M,150000,163125,9/13/19
Aljaz Ivacic,POR,2019,GK,150000,160000,9/13/19
Ricardo Clark,CLB,2019,M,159999.96,159999.96,9/13/19
Zarek Valentin,POR,2019,D,159999.96,159999.96,9/13/19
Ruan,ORL,2019,D,159999.96,159999.96,9/13/19
Júnior Moreno,DCU,2019,D,140000.04,159500.04,9/13/19
Daniel Steres,LAG,2019,D,150000,157333.4,9/13/19
Amro Tarek,NYRB,2019,D,150000,156250,9/13/19
Jimmy Medranda,SKC,2019,D,155004,155004,9/13/19
Marlon Hairston,HOU,2019,M,155004,155004,9/13/19
Luke Mulholland,RSL,2019,M,155000.04,155000.04,9/13/19
Dejan Jakovic,LAFC,2019,D,150000,153750,9/13/19
Scott Caldwell,NER,2019,M,142312.56,153208.56,9/13/19
Richard Sánchez,CHI,2019,GK,150000,152500,9/13/19
Brent Kallman,MIN,2019,D,118000.08,151531.33,9/13/19
Kenneth Kronholm,CHI,2019,GK,87996,150996,9/13/19
Tesho Akindele,ORL,2019,F,150000,150000,9/13/19
Andy Polo,POR,2019,M,150000,150000,9/13/19
J.J. Williams,CLB,2019,F,95000.04,149750.04,9/13/19
Nick Hagglund,CIN,2019,D,137504.4,147129.4,9/13/19
JT Marcinkowski,SJE,2019,GK,135000,147000,9/13/19
Micheal Azira,CHI,2019,D,140000.04,146625.04,9/13/19
Alex De John,ORL,2019,D,135000,146614.17,9/13/19
Lalas Abubakar,COL,2019,D,135000,144937.5,9/13/19
Joe Bendik,PHI,2019,GK,144000,144000,9/13/19
Samuel Piette,MTL,2019,D,135000,143159.38,9/13/19
Seth Sinovic,SKC,2019,D,135000,143000,9/13/19
José Rafael Hernández,ATL,2019,D,140004,140004,9/13/19
Steve Clark,POR,2019,GK,140000.04,140000.04,9/13/19
Dániel Sallói,SKC,2019,M,129999.96,139624.96,9/13/19
Shane O'Neill,ORL,2019,D,124999.92,139499.92,9/13/19
Clint Irwin,COL,2019,GK,126000,138707.24,9/13/19
Jay Chapman,TOR,2019,M,120000,138500,9/13/19
Thomas Roberts,FCD,2019,M,109999.92,137999.92,9/13/19
Jordan Hamilton,CLB,2019,F,124992,137658.67,9/13/19
Jonathan Lewis,COL,2019,M,100000.08,137500.08,9/13/19
Ryan Meara,NYRB,2019,GK,132000,137000,9/13/19
Eryk Williamson,POR,2019,M,120000,136500,9/13/19
Eric Calvillo,SJE,2019,M,120000,136500,9/13/19
Fabian Herbers,CHI,2019,M,135000,135000,9/13/19
Mo Adams,ATL,2019,M,99999.96,134999.96,9/13/19
Griffin Dorsey,TOR,2019,M,90000,134000,9/13/19
Ashtone Morgan,TOR,2019,D,132000,133500,9/13/19
Julian Gressel,ATL,2019,M,114249.96,132999.96,9/13/19
Connor Lade,NYRB,2019,D,126000,132749.85,9/13/19
Donny Toia,RSL,2019,D,131254.2,131254.2,9/13/19
Gordon Wild,DCU,2019,F,99999.96,129999.96,9/13/19
Alex Muyl,NYRB,2019,M,123750,127750,9/13/19
Jimmy Maurer,FCD,2019,GK,125000.04,127500.04,9/13/19
Tajon Buchanan,NER,2019,M,90000,126000,9/13/19
Eric Miller,NYC,2019,D,108549.96,124424.96,9/13/19
Ayo Akinola,TOR,2019,F,56256,124256,9/13/19
Jake Nerwinski,VAN,2019,D,120000,124125,9/13/19
Auston Trusty,PHI,2019,D,95000.04,124100.04,9/13/19
Tomas Hilliard-Arce,LAG,2019,D,99999.96,123124.96,9/13/19
Sebastián Saucedo,RSL,2019,M,112500,123000,9/13/19
Jack De Vries,PHI,2019,M,90000,120556.25,9/13/19
Eduardo Sosa,CLB,2019,M,99999.96,120199.96,9/13/19
Shamit Shome,MTL,2019,M,100000.08,120000.08,9/13/19
Alejandro Guido,LAFC,2019,D,120000,120000,9/13/19
Dillon Serna,COL,2019,M,120000,120000,9/13/19
Fabinho,PHI,2019,D,120000,120000,9/13/19
Dave Romney,LAG,2019,D,102000,118950,9/13/19
Cristian Cásseres Jr,NYRB,2019,M,79999.92,118749.92,9/13/19
Brad Knighton,NER,2019,GK,111253.32,116253.32,9/13/19
Benji Michel,ORL,2019,F,84999.96,116249.96,9/13/19
Quentin Westberg,TOR,2019,GK,100000.08,115254.08,9/13/19
Justin Rennicks,NER,2019,F,80000.04,115000.04,9/13/19
Djordje Mihailovic,CHI,2019,M,111000,114600,9/13/19
Michael Murillo,NYRB,2019,D,105003.96,113753.96,9/13/19
John Nelson,FCD,2019,D,80000.04,113000.04,9/13/19
Ricardo Pepi,FCD,2019,F,80000.04,113000.04,9/13/19
Derek Cornelius,VAN,2019,D,99999.96,111912.46,9/13/19
Latif Blessing,LAFC,2019,M,93750,110416.67,9/13/19
Victor Giro,VAN,2019,D,105000,110312.5,9/13/19
Danilo Acosta,ORL,2019,D,110000.04,110000.04,9/13/19
Aboubacar Keita,CLB,2019,D,90000,110000,9/13/19
Chris Mueller,ORL,2019,M,95625,109375,9/13/19
Dante Sealy,FCD,2019,F,80000.04,108400.04,9/13/19
Bill Tuiloma,POR,2019,D,100008,107508,9/13/19
Edward Opoku,CLB,2019,F,84999.96,105999.96,9/13/19
Collin Martin,MIN,2019,M,105000,105000,9/13/19
James Sands,NYC,2019,D,105000,105000,9/13/19
Pablo Sisniega,LAFC,2019,GK,105000,105000,9/13/19
Paxton Pomykal,FCD,2019,M,99999.96,104999.96,9/13/19
Alex Crognale,CLB,2019,D,104504.4,104504.4,9/13/19
Chris Durkin,DCU,2019,D,95000.04,104375.04,9/13/19
Siad Haji,SJE,2019,M,75000,104000,9/13/19
Donovan Pines,DCU,2019,D,90000,102000,9/13/19
Jalil Anibaba,NER,2019,D,101250,101250,9/13/19
Alex Horwath,RSL,2019,GK,95000.04,100862.54,9/13/19
Edwin Cerrillo,FCD,2019,D,70250.04,100250.04,9/13/19
Alec Kann,ATL,2019,GK,100008,100008,9/13/19
Lass Bangoura,VAN,2019,M,99999.96,99999.96,9/13/19
Brad Stuver,NYC,2019,GK,99999.96,99999.96,9/13/19
Andrew Gutman,CIN,2019,D,99999.96,99999.96,9/13/19
Matt Hundley,COL,2019,M,65000.04,99000.04,9/13/19
Cameron Lindley,ORL,2019,D,90000,98906.25,9/13/19
Brenden Aaronson,PHI,2019,M,70000.08,98309.48,9/13/19
Clément Diop,MTL,2019,GK,94500,98190,9/13/19
Brian Rowe,ORL,2019,GK,95000.04,98000.04,9/13/19
Grant Lillard,CHI,2019,D,95000.04,97500.04,9/13/19
Daniel Lovitz,MTL,2019,D,97453.08,97453.08,9/13/19
Andrew Carleton,ATL,2019,M,84999.96,97399.96,9/13/19
Omir Fernandez,NYRB,2019,M,80000.04,95000.04,9/13/19
Andre Shinyashiki,COL,2019,F,84999.96,94999.96,9/13/19
Maxime Crépeau,VAN,2019,GK,90000,94083.33,9/13/19
Gianluca Busio,SKC,2019,M,90000,92500,9/13/19
Kortne Ford,COL,2019,D,92496,92496,9/13/19
Gilbert Fuentes,SJE,2019,M,80000.04,92000.04,9/13/19
Daniel Ríos,NSH,2019,F,80000.04,91625.04,9/13/19
Brandt Bronico,CHI,2019,M,84999.96,90624.96,9/13/19
Hugo Arellano,LAG,2019,D,82500,90073.75,9/13/19
Moisés Hernández,FCD,2019,D,90000,90000,9/13/19
Chris Goslin,ATL,2019,M,90000,90000,9/13/19
Danny Leyva,SEA,2019,D,56250,89872.25,9/13/19
Cristian Martínez,CHI,2019,M,80000.04,88406.71,9/13/19
Jaylin Lindsey,SKC,2019,D,75000,88000,9/13/19
Zachary Herivaux,NER,2019,M,72351.6,87351.6,9/13/19
Mathieu Choinière,MTL,2019,M,80000.04,86390.04,9/13/19
Julian Araujo,LAG,2019,D,80000.04,86250.04,9/13/19
Aaron Herrera,RSL,2019,D,86000.04,86000.04,9/13/19
Alfonso Ocampo-Chavez,SEA,2019,F,56250,85750,9/13/19
Nick Besler,RSL,2019,M,84999.96,84999.96,9/13/19
Juan Pablo Torres,NYC,2019,M,70250.04,84750.04,9/13/19
Nouhou Tolo,SEA,2019,D,84000,84000,9/13/19
Cole Bassett,COL,2019,M,75000,84000,9/13/19
Michael Baldisimo,VAN,2019,D,56250,83012.8,9/13/19
Memo Rodríguez,HOU,2019,M,70250.04,82750.04,9/13/19
Tyler Freeman,SKC,2019,F,70249.92,82749.92,9/13/19
Mark McKenzie,PHI,2019,D,72225,82225,9/13/19
Derrick Etienne,CIN,2019,M,77062.56,82062.56,9/13/19
Sam Vines,COL,2019,D,80000.04,81250.04,9/13/19
Simon Colyn,VAN,2019,M,56250,81250,9/13/19
Zachary Brault-Guillard,MTL,2019,D,72000,81000,9/13/19
Sebastian Anderson,COL,2019,D,56250,80916.67,9/13/19
Derrick Jones,PHI,2019,M,75000,80900,9/13/19
Reggie Cannon,FCD,2019,D,80250,80250,9/13/19
Marco Farfan,POR,2019,D,80250,80250,9/13/19
Jalen Robinson,DCU,2019,D,80004,80004,9/13/19
Cory Burke,PHI,2019,F,75937.56,79720.37,9/13/19
Niko Hansen,HOU,2019,M,71662.56,79162.56,9/13/19
Jacori Hayes,FCD,2019,M,71662.56,79162.56,9/13/19
George Bello,ATL,2019,D,75000,79000,9/13/19
Anthony Fontana,PHI,2019,M,70260,78677.6,9/13/19
Romario Williams,CLB,2019,F,78650.04,78650.04,9/13/19
Ethan Zubak,LAG,2019,F,75000,78125,9/13/19
Joe Scally,NYC,2019,D,56250,78066.67,9/13/19
Cameron Lancaster,NSH,2019,F,70250.04,78065.67,9/13/19
Gedion Zelalem,SKC,2019,M,56250,77916.67,9/13/19
Matt Freese,PHI,2019,GK,70000.08,77650.08,9/13/19
Forrest Lasso,CIN,2019,D,70250.04,77583.37,9/13/19
Tyler Miller,LAFC,2019,GK,77565,77565,9/13/19
Cody Cropper,NER,2019,GK,77519.52,77519.52,9/13/19
Santiago Patiño,ORL,2019,F,72500.04,76781.29,9/13/19
Bradford Jamieson,LAG,2019,F,76403.28,76403.28,9/13/19
Griffin Yow,DCU,2019,F,70250.04,76368.37,9/13/19
Erik McCue,HOU,2019,D,56250,76250,9/13/19
Theo Bair,VAN,2019,F,56250,76250,9/13/19
Jean-Christophe Koffi,NYRB,2019,M,70250.04,76031.29,9/13/19
Josh Pérez,LAFC,2019,M,75999.96,75999.96,9/13/19
Matt Turner,NER,2019,GK,75937.56,75937.56,9/13/19
Liam Fraser,TOR,2019,D,70875,75875,9/13/19
Efrain Álvarez,LAG,2019,M,70872,75605.8,9/13/19
Tsubasa Endoh,TOR,2019,M,70250.04,75583.37,9/13/19
Isaac Angking,NER,2019,M,70250.04,75250.04,9/13/19
Oniel Fisher,DCU,2019,D,70250.04,74916.71,9/13/19
Gabriel Slonina,CHI,2019,GK,60000,74800,9/13/19
Dayne St. Clair,MIN,2019,GK,70250.04,74753.17,9/13/19
Marcus Epps,NYRB,2019,M,70250.04,74541.71,9/13/19
Florian Valot,NYRB,2019,M,70872,74508.45,9/13/19
Antonio Bustamante,DCU,2019,D,70250.04,74484.83,9/13/19
Sebastien Ibeagha,NYC,2019,D,74250,74250,9/13/19
Deklan Wynne,COL,2019,D,74250,74250,9/13/19
Brett Levis,VAN,2019,D,71662.56,74162.56,9/13/19
Nicolas Firmino,NER,2019,M,70250.04,73916.71,9/13/19
Eric Dick,SKC,2019,GK,70250.04,73699.58,9/13/19
Earl Edwards Jr.,DCU,2019,GK,70250.04,73583.37,9/13/19
Vincent Bezecourt,NYRB,2019,M,70875,73295.62,9/13/19
Lagos Kunga,ATL,2019,M,70250.04,73250.04,9/13/19
Tristan Blackmon,LAFC,2019,D,70250.04,72983.95,9/13/19
Diego Campos,CHI,2019,D,70250.04,72825.04,9/13/19
Amando Moreno,CHI,2019,M,70250.04,72750.04,9/13/19
Peter-Lee Vassell,LAFC,2019,M,70250.04,72750.04,9/13/19
Andre Rawls,COL,2019,GK,72360.84,72360.84,9/13/19
Kevin Garcia,HOU,2019,D,72360.84,72360.84,9/13/19
Mikey Ambrose,ATL,2019,D,72351.6,72351.6,9/13/19
