Player,Team,Season,Position,Base Salary,Guaranteed Compensation,Date
Julian Dunn,TOR,2019,D,57225,57225,9/13/19
Aidan Daniels,TOR,2019,M,57225,57225,9/13/19
Foster Langsdorf,POR,2019,F,57225,57225,9/13/19
Kevin Partida,SJE,2019,M,57225,57225,9/13/19
Graham Smith,SKC,2019,D,57225,57225,9/13/19
Jeff Caldwell,NYC,2019,GK,57225,57225,9/13/19
Brian White,NYRB,2019,F,57225,57225,9/13/19
Michael Nelson,HOU,2019,GK,57225,57225,9/13/19
Ben Lundgaard,CLB,2019,GK,57225,57225,9/13/19
Paul Marie,SJE,2019,D,57225,57225,9/13/19
Richie Laryea,TOR,2019,D,56250,56250,9/13/19
Luiz Fernando Nascimento,ATL,2019,F,56250,56250,9/13/19
Dion Pereira,ATL,2019,M,56250,56250,9/13/19
Chris Odoi-Atsem,DCU,2019,D,56250,56250,9/13/19
Lamar Batista,LAFC,2019,D,56250,56250,9/13/19
Abdi Mohamed,NYC,2019,D,56250,56250,9/13/19
Kamal Miller,ORL,2019,D,56250,56250,9/13/19
Sean Nealis,NYRB,2019,D,56250,56250,9/13/19
DeJuan Jones,NER,2019,M,56250,56250,9/13/19
Hassani Dotson,MIN,2019,M,56250,56250,9/13/19
Chase Gasper,MIN,2019,D,56250,56250,9/13/19
Sam Junqua,HOU,2019,D,56250,56250,9/13/19
Jimmy Hague,CIN,2019,GK,56250,56250,9/13/19
Adrien Pérez,LAFC,2019,F,56250,56250,9/13/19
Ally Ng'Anzi,MIN,2019,M,56250,56250,9/13/19
Javier Pérez,LAFC,2019,M,56250,56250,9/13/19
Luis Arriaga,RSL,2019,M,56250,56250,9/13/19
Jeremiah Gutjahr,CHI,2019,M,56250,56250,9/13/19
Amar Sejdic,MTL,2019,M,56250,56250,9/13/19
Diedie Traore,LAG,2019,D,56250,56250,9/13/19
Tom Barlow,NYRB,2019,F,56250,56250,9/13/19
Michee Ngalina,PHI,2019,M,56250,56250,9/13/19
Brendan McDonough,VAN,2019,D,56250,56250,9/13/19
Justin Haak,NYC,2019,M,56250,56250,9/13/19
Luis Barraza,NYC,2019,GK,56250,56250,9/13/19
Tommy McCabe,CIN,2019,D,56250,56250,9/13/19
Marvin Loría,POR,2019,M,56250,56250,9/13/19
Phillip Ejimadu,LAFC,2019,GK,56250,56250,9/13/19
Rece Buckmaster,NYRB,2019,D,56250,56250,9/13/19
Chris Cadden,CLB,2019,M,56250,56250,9/13/19
Felipe Hernandez,SKC,2019,M,56250,56250,9/13/19
Douglas Martínez,RSL,2019,F,56250,56250,9/13/19
Georges Mukumbilwa,VAN,2019,D,56250,56250,9/13/19
