Player,Team,Season,MinutesIncludes stoppage time.,Passes,Pass %Pass Completion,xPass %Expected pass completion percentage.,ScoreNumber of passes completed over/under expected.,"Per100Passes completed over/under expected, measured per 100 passes.","DistanceAverage distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","VerticalAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.",Touch %Players' share of their team's number of touches.
Valentín Castellanos,NYC,2020,513,5,0.2,0.6422,-2.211,-44.2207,18.5738,15.249,0.0084
Daniel Lovitz,NSH,2020,195,14,0.4286,0.589,-2.2457,-16.041,25.3403,17.0529,0.1059
Samuel Piette,MTL,2020,576,36,0.6389,0.7017,-2.2626,-6.2851,22.7581,12.5861,0.0615
Diego Palacios,LAFC,2020,481,53,0.6792,0.7226,-2.2952,-4.3306,21.7841,11.155,0.0925
Przemyslaw Frankowski,CHI,2020,504,37,0.6486,0.7113,-2.3182,-6.2655,21.4046,9.803,0.057
Pablo Sisniega,LAFC,2020,197,47,0.766,0.8166,-2.3799,-5.0636,29.3468,21.0646,0.1466
Joseph Mora,DCU,2020,421,54,0.6296,0.6739,-2.388,-4.4222,19.5144,10.531,0.0833
Jamiro Monteiro,PHI,2020,679,45,0.8,0.8553,-2.4898,-5.5329,17.4128,4.7559,0.0459
Tristan Blackmon,LAFC,2020,663,79,0.7342,0.768,-2.6738,-3.3846,17.6487,9.5232,0.1096
Joe Gyau,CIN,2020,345,22,0.5909,0.7144,-2.7164,-12.3475,15.5903,7.8514,0.042
Adam Lundkvist,HOU,2020,485,51,0.6471,0.7008,-2.7399,-5.3724,22.1277,14.0345,0.1166
Diego Rossi,LAFC,2020,695,13,0.5385,0.7497,-2.7457,-21.1209,16.1936,10.9073,0.0172
Keegan Rosenberry,COL,2020,404,76,0.6842,0.7211,-2.8072,-3.6937,21.7574,9.4724,0.1204
C.J. Sapong,CHI,2020,217,7,0.2857,0.6872,-2.8102,-40.1458,11.8623,7.5079,0.0268
Steve Clark,POR,2020,690,249,0.7108,0.7223,-2.8533,-1.1459,39.3631,30.8569,0.196
Thiago Santos,FCD,2020,200,36,0.8056,0.885,-2.8592,-7.9423,25.1415,7.4367,0.1372
Boniek García,HOU,2020,446,30,0.7333,0.8287,-2.8601,-9.5336,17.3372,7.4597,0.0599
Walker Zimmerman,NSH,2020,195,35,0.6857,0.7675,-2.8626,-8.1788,22.699,7.4323,0.2034
Perry Kitchen,LAG,2020,448,30,0.7333,0.8289,-2.8671,-9.5571,20.7096,3.9598,0.0652
Hwang In-Beom,VAN,2020,585,73,0.8082,0.8481,-2.9133,-3.9908,21.5182,6.3628,0.0793
Caleb Stanko,CIN,2020,308,39,0.8462,0.9222,-2.9667,-7.6068,17.2649,-0.9937,0.0561
Dylan Nealis,MIA,2020,297,36,0.5278,0.6111,-3.0001,-8.3337,23.0215,14.2632,0.108
Fabian Herbers,CHI,2020,408,16,0.625,0.8135,-3.0155,-18.8468,17.134,8.3303,0.0312
Alejandro Romero Gamarra,NYRB,2020,344,18,0.5556,0.7255,-3.0591,-16.995,20.6984,14.0747,0.0359
Mathieu Deplagne,CIN,2020,511,148,0.723,0.7446,-3.2016,-2.1632,20.9992,11.2801,0.1493
Gyasi Zardes,CLB,2020,517,7,0.2857,0.7617,-3.3317,-47.5957,10.6587,2.9079,0.0172
Nick Besler,RSL,2020,188,19,0.6316,0.8073,-3.339,-17.5739,15.8242,7.1482,0.0351
Mark-Anthony Kaye,LAFC,2020,537,44,0.7273,0.8047,-3.408,-7.7454,19.9052,9.8874,0.0626
Júnior Moreno,DCU,2020,342,57,0.7895,0.8498,-3.4385,-6.0325,17.4876,6.0062,0.0854
Eryk Williamson,POR,2020,363,20,0.7,0.8739,-3.4779,-17.3893,16.2309,6.394,0.0382
Cristian Pavón,LAG,2020,495,11,0.5455,0.8677,-3.5449,-32.226,8.4518,2.7914,0.0185
Nick Lima,SJE,2020,568,63,0.7778,0.8354,-3.632,-5.7651,19.555,3.4299,0.066
Diego Valeri,POR,2020,520,21,0.619,0.7923,-3.6376,-17.3221,17.9989,7.371,0.0195
Ethan Finlay,MIN,2020,655,29,0.5517,0.6794,-3.7032,-12.7695,20.55,13.336,0.0323
Marco Delgado,TOR,2020,526,33,0.7273,0.8405,-3.7349,-11.318,17.5801,5.6455,0.0426
Russell Canouse,DCU,2020,510,48,0.7292,0.8086,-3.8108,-7.9391,16.6904,7.3456,0.0679
Haris Medunjanin,CIN,2020,578,115,0.8087,0.8424,-3.8724,-3.3673,21.7505,7.889,0.093
Daniel Royer,NYRB,2020,438,15,0.5333,0.7916,-3.8733,-25.8217,9.4081,2.6067,0.0273
Jorge Corrales,MTL,2020,501,75,0.68,0.7322,-3.9158,-5.2211,18.7513,8.3444,0.1112
Clément Diop,MTL,2020,601,178,0.7472,0.7693,-3.9425,-2.2149,34.0824,25.1055,0.1744
Matt Besler,SKC,2020,409,103,0.767,0.8056,-3.9728,-3.857,24.3105,13.4048,0.2117
Johnny Russell,SKC,2020,491,20,0.4,0.6057,-4.1146,-20.5732,21.335,16.905,0.0248
Donny Toia,RSL,2020,538,92,0.6304,0.6753,-4.1307,-4.4899,25.1087,16.1412,0.1126
Joe Corona,LAG,2020,282,25,0.68,0.8489,-4.2227,-16.8907,15.729,5.4832,0.0562
Kelyn Rowe,NER,2020,359,31,0.6129,0.7525,-4.3262,-13.9556,19.6367,10.3834,0.0616
Quentin Westberg,TOR,2020,504,198,0.7424,0.7646,-4.3983,-2.2214,33.6385,25.2018,0.2303
Brenden Aaronson,PHI,2020,626,16,0.5625,0.8438,-4.5007,-28.1294,12.0016,0.7259,0.035
Ali Adnan,VAN,2020,584,59,0.5932,0.6807,-5.1629,-8.7506,19.5265,11.3363,0.077
Sean Johnson,NYC,2020,711,229,0.7817,0.8043,-5.1824,-2.2631,31.4449,22.5686,0.1706
Anton Tinnerholm,NYC,2020,711,98,0.6429,0.6964,-5.2518,-5.359,18.0157,8.4631,0.0869
Thomas Hasal,VAN,2020,244,82,0.6098,0.6743,-5.296,-6.4585,41.7172,32.7049,0.1623
Adrien Regattin,CIN,2020,423,22,0.5909,0.8405,-5.49,-24.9545,19.1491,4.0145,0.0205
Zarek Valentin,HOU,2020,500,64,0.5781,0.6641,-5.5021,-8.597,26.245,15.0668,0.1029
Justin Morrow,TOR,2020,252,31,0.5161,0.7009,-5.7284,-18.4788,21.0933,8.0092,0.0967
Kelvin Leerdam,SEA,2020,534,77,0.5974,0.6784,-6.2384,-8.1019,22.6054,12.9696,0.0775
Przemyslaw Tyton,CIN,2020,411,126,0.619,0.6727,-6.7624,-5.367,43.6148,33.9843,0.1427
Frankie Amaya,CIN,2020,541,80,0.7625,0.85,-6.9985,-8.7481,21.37,5.1678,0.0795
Leonard Owusu,VAN,2020,338,30,0.5667,0.8071,-7.2119,-24.0398,24.3105,10.8637,0.0497
Romain Métanire,MIN,2020,574,79,0.5949,0.6925,-7.7088,-9.758,19.3684,13.078,0.1045
Auro,TOR,2020,589,99,0.6768,0.7631,-8.5474,-8.6337,19.4225,9.9585,0.1047
